run_id,scenario,design,repetition,tick_count,wifi_up_count,wifi_down_count,full_live_count,stale_count,fail_count,gateway_live_count,gateway_stale_count,recovered_live_tail,live_ratio,wifi_up_ratio,wifi_down_ratio,stale_ratio,fail_ratio,gateway_live_ratio,gateway_stale_ratio
RUN-20260423-2315-validation-normal-design-a-r1,normal,design-a,1,186,186,,186,,,,,,1.000,1.000,,,,,
RUN-20260423-2329-validation-normal-design-b-r1,normal,design-b,1,187,187,,187,,,187,,,1.000,1.000,,,,1.000,
RUN-20260423-2355-validation-normal-design-a-r2,normal,design-a,2,187,185,,185,,,,,,0.989,0.989,,,,,
RUN-20260424-0002-validation-normal-design-b-r2,normal,design-b,2,188,187,,187,,,188,,,0.995,0.995,,,,1.000,
RUN-20260424-0008-validation-normal-design-a-r3,normal,design-a,3,185,183,,183,,,,,,0.989,0.989,,,,,
RUN-20260424-0013-validation-normal-design-b-r3,normal,design-b,3,185,185,,185,,,185,,,1.000,1.000,,,,1.000,
RUN-20260424-0101-validation-wifi-loss-design-a-r1-fixed-long,wifi-loss,design-a,1,296,,134,,20,120,,,True,,,0.453,0.068,0.405,,
RUN-20260424-0110-validation-wifi-loss-design-b-r1-long,wifi-loss,design-b,1,296,,172,,176,0,120,176,True,,,0.581,0.595,0.000,0.405,0.595
RUN-20260426-1843-validation-wifi-loss-design-a-r2-long,wifi-loss,design-a,2,296,,164,,19,150,,,True,,,0.554,0.064,0.507,,
RUN-20260426-1856-validation-wifi-loss-design-b-r2-long,wifi-loss,design-b,2,296,,175,,179,0,117,179,True,,,0.591,0.605,0.000,0.395,0.605
RUN-20260426-1911-validation-wifi-loss-design-a-r3-redo-long,wifi-loss,design-a,3,296,,164,,0,148,,,True,,,0.554,0.000,0.500,,
RUN-20260426-1919-validation-wifi-loss-design-b-r3-long,wifi-loss,design-b,3,297,,187,,192,0,105,192,True,,,0.630,0.646,0.000,0.354,0.646
RUN-20260426-1937-validation-slow-backend-design-a-r1,slow-backend,design-a,1,167,167,,,0,0,,,True,,1.000,,0.000,0.000,,
RUN-20260426-1958-validation-slow-backend-design-b-r1,slow-backend,design-b,1,210,210,,,82,0,128,82,True,,1.000,,0.390,0.000,0.610,0.390
RUN-20260426-2005-validation-slow-backend-design-a-r2,slow-backend,design-a,2,165,165,,,0,0,,,True,,1.000,,0.000,0.000,,
RUN-20260426-2013-validation-slow-backend-design-b-r2,slow-backend,design-b,2,129,128,,,24,10,95,24,True,,0.992,,0.186,0.078,0.736,0.186
RUN-20260426-2020-validation-slow-backend-design-a-r3,slow-backend,design-a,3,167,167,,,0,0,,,True,,1.000,,0.000,0.000,,
RUN-20260426-2026-validation-slow-backend-design-b-r3,slow-backend,design-b,3,211,210,,,81,0,130,81,True,,0.995,,0.384,0.000,0.616,0.384
RUN-20260426-2034-validation-backend-down-design-a-r1,backend-down,design-a,1,146,146,,,6,15,,,True,,1.000,,0.041,0.103,,
RUN-20260426-2041-validation-backend-down-design-b-r1,backend-down,design-b,1,213,212,,,83,0,130,83,True,,0.995,,0.390,0.000,0.610,0.390
RUN-20260426-2047-validation-backend-down-design-a-r2,backend-down,design-a,2,146,146,,,5,14,,,True,,1.000,,0.034,0.096,,
RUN-20260426-2056-validation-backend-down-design-b-r2,backend-down,design-b,2,213,212,,,82,0,131,82,True,,0.995,,0.385,0.000,0.615,0.385
RUN-20260426-2113-validation-backend-down-design-a-r3,backend-down,design-a,3,163,105,,,0,15,,,True,,0.644,,0.000,0.092,,
RUN-20260426-2123-validation-backend-down-design-b-r3,backend-down,design-b,3,213,212,,,82,0,131,82,True,,0.995,,0.385,0.000,0.615,0.385
