sample_index,design,request_group,metric_or_endpoint,url,status_code,response_size_bytes,elapsed_ms,error
1,design-a,prometheus-direct,cpu,http://localhost:9090/api/v1/query?query=100+-+%28avg+by+%28instance%29+%28rate%28node_cpu_seconds_total%7Bmode%3D%22idle%22%7D%5B1m%5D%29%29+%2A+100%29,200,153,28.581,
1,design-a,prometheus-direct,memory,http://localhost:9090/api/v1/query?query=%281+-+%28node_memory_MemAvailable_bytes+%2F+node_memory_MemTotal_bytes%29%29+%2A+100,200,174,1.142,
1,design-a,prometheus-direct,disk,http://localhost:9090/api/v1/query?query=%281+-+%28node_filesystem_avail_bytes%7Bmountpoint%3D%22%2F%22%2Cfstype%21%3D%22rootfs%22%7D+%2F+node_filesystem_size_bytes%7Bmountpoint%3D%22%2F%22%2Cfstype%21%3D%22rootfs%22%7D%29%29+%2A+100,200,63,0.957,
1,design-a,prometheus-direct,connectivity,http://localhost:9090/api/v1/query?query=up%7Bjob%3D%22node_exporter%22%7D,200,174,0.938,
1,design-a,prometheus-direct,rx,http://localhost:9090/api/v1/query?query=rate%28node_network_receive_bytes_total%7Bdevice%21%3D%22lo%22%7D%5B1m%5D%29,200,191,0.787,
1,design-a,prometheus-direct,tx,http://localhost:9090/api/v1/query?query=rate%28node_network_transmit_bytes_total%7Bdevice%21%3D%22lo%22%7D%5B1m%5D%29,200,191,0.823,
1,design-b,gateway-summary,summary,http://localhost:8080/api/v1/summary,200,338,18.404,
2,design-a,prometheus-direct,cpu,http://localhost:9090/api/v1/query?query=100+-+%28avg+by+%28instance%29+%28rate%28node_cpu_seconds_total%7Bmode%3D%22idle%22%7D%5B1m%5D%29%29+%2A+100%29,200,153,1.228,
2,design-a,prometheus-direct,memory,http://localhost:9090/api/v1/query?query=%281+-+%28node_memory_MemAvailable_bytes+%2F+node_memory_MemTotal_bytes%29%29+%2A+100,200,174,0.954,
2,design-a,prometheus-direct,disk,http://localhost:9090/api/v1/query?query=%281+-+%28node_filesystem_avail_bytes%7Bmountpoint%3D%22%2F%22%2Cfstype%21%3D%22rootfs%22%7D+%2F+node_filesystem_size_bytes%7Bmountpoint%3D%22%2F%22%2Cfstype%21%3D%22rootfs%22%7D%29%29+%2A+100,200,63,0.951,
2,design-a,prometheus-direct,connectivity,http://localhost:9090/api/v1/query?query=up%7Bjob%3D%22node_exporter%22%7D,200,174,0.845,
2,design-a,prometheus-direct,rx,http://localhost:9090/api/v1/query?query=rate%28node_network_receive_bytes_total%7Bdevice%21%3D%22lo%22%7D%5B1m%5D%29,200,191,0.869,
2,design-a,prometheus-direct,tx,http://localhost:9090/api/v1/query?query=rate%28node_network_transmit_bytes_total%7Bdevice%21%3D%22lo%22%7D%5B1m%5D%29,200,191,0.896,
2,design-b,gateway-summary,summary,http://localhost:8080/api/v1/summary,200,338,1.369,
3,design-a,prometheus-direct,cpu,http://localhost:9090/api/v1/query?query=100+-+%28avg+by+%28instance%29+%28rate%28node_cpu_seconds_total%7Bmode%3D%22idle%22%7D%5B1m%5D%29%29+%2A+100%29,200,153,1.024,
3,design-a,prometheus-direct,memory,http://localhost:9090/api/v1/query?query=%281+-+%28node_memory_MemAvailable_bytes+%2F+node_memory_MemTotal_bytes%29%29+%2A+100,200,174,1.033,
3,design-a,prometheus-direct,disk,http://localhost:9090/api/v1/query?query=%281+-+%28node_filesystem_avail_bytes%7Bmountpoint%3D%22%2F%22%2Cfstype%21%3D%22rootfs%22%7D+%2F+node_filesystem_size_bytes%7Bmountpoint%3D%22%2F%22%2Cfstype%21%3D%22rootfs%22%7D%29%29+%2A+100,200,63,1.045,
3,design-a,prometheus-direct,connectivity,http://localhost:9090/api/v1/query?query=up%7Bjob%3D%22node_exporter%22%7D,200,174,0.855,
3,design-a,prometheus-direct,rx,http://localhost:9090/api/v1/query?query=rate%28node_network_receive_bytes_total%7Bdevice%21%3D%22lo%22%7D%5B1m%5D%29,200,191,0.732,
3,design-a,prometheus-direct,tx,http://localhost:9090/api/v1/query?query=rate%28node_network_transmit_bytes_total%7Bdevice%21%3D%22lo%22%7D%5B1m%5D%29,200,191,0.862,
3,design-b,gateway-summary,summary,http://localhost:8080/api/v1/summary,200,338,1.331,
4,design-a,prometheus-direct,cpu,http://localhost:9090/api/v1/query?query=100+-+%28avg+by+%28instance%29+%28rate%28node_cpu_seconds_total%7Bmode%3D%22idle%22%7D%5B1m%5D%29%29+%2A+100%29,200,153,1.026,
4,design-a,prometheus-direct,memory,http://localhost:9090/api/v1/query?query=%281+-+%28node_memory_MemAvailable_bytes+%2F+node_memory_MemTotal_bytes%29%29+%2A+100,200,174,0.855,
4,design-a,prometheus-direct,disk,http://localhost:9090/api/v1/query?query=%281+-+%28node_filesystem_avail_bytes%7Bmountpoint%3D%22%2F%22%2Cfstype%21%3D%22rootfs%22%7D+%2F+node_filesystem_size_bytes%7Bmountpoint%3D%22%2F%22%2Cfstype%21%3D%22rootfs%22%7D%29%29+%2A+100,200,63,0.867,
4,design-a,prometheus-direct,connectivity,http://localhost:9090/api/v1/query?query=up%7Bjob%3D%22node_exporter%22%7D,200,174,0.879,
4,design-a,prometheus-direct,rx,http://localhost:9090/api/v1/query?query=rate%28node_network_receive_bytes_total%7Bdevice%21%3D%22lo%22%7D%5B1m%5D%29,200,191,0.800,
4,design-a,prometheus-direct,tx,http://localhost:9090/api/v1/query?query=rate%28node_network_transmit_bytes_total%7Bdevice%21%3D%22lo%22%7D%5B1m%5D%29,200,191,0.767,
4,design-b,gateway-summary,summary,http://localhost:8080/api/v1/summary,200,338,1.254,
5,design-a,prometheus-direct,cpu,http://localhost:9090/api/v1/query?query=100+-+%28avg+by+%28instance%29+%28rate%28node_cpu_seconds_total%7Bmode%3D%22idle%22%7D%5B1m%5D%29%29+%2A+100%29,200,153,1.029,
5,design-a,prometheus-direct,memory,http://localhost:9090/api/v1/query?query=%281+-+%28node_memory_MemAvailable_bytes+%2F+node_memory_MemTotal_bytes%29%29+%2A+100,200,174,0.934,
5,design-a,prometheus-direct,disk,http://localhost:9090/api/v1/query?query=%281+-+%28node_filesystem_avail_bytes%7Bmountpoint%3D%22%2F%22%2Cfstype%21%3D%22rootfs%22%7D+%2F+node_filesystem_size_bytes%7Bmountpoint%3D%22%2F%22%2Cfstype%21%3D%22rootfs%22%7D%29%29+%2A+100,200,63,0.890,
5,design-a,prometheus-direct,connectivity,http://localhost:9090/api/v1/query?query=up%7Bjob%3D%22node_exporter%22%7D,200,174,0.855,
5,design-a,prometheus-direct,rx,http://localhost:9090/api/v1/query?query=rate%28node_network_receive_bytes_total%7Bdevice%21%3D%22lo%22%7D%5B1m%5D%29,200,191,0.964,
5,design-a,prometheus-direct,tx,http://localhost:9090/api/v1/query?query=rate%28node_network_transmit_bytes_total%7Bdevice%21%3D%22lo%22%7D%5B1m%5D%29,200,191,0.936,
5,design-b,gateway-summary,summary,http://localhost:8080/api/v1/summary,200,338,1.309,
6,design-a,prometheus-direct,cpu,http://localhost:9090/api/v1/query?query=100+-+%28avg+by+%28instance%29+%28rate%28node_cpu_seconds_total%7Bmode%3D%22idle%22%7D%5B1m%5D%29%29+%2A+100%29,200,153,1.092,
6,design-a,prometheus-direct,memory,http://localhost:9090/api/v1/query?query=%281+-+%28node_memory_MemAvailable_bytes+%2F+node_memory_MemTotal_bytes%29%29+%2A+100,200,174,0.897,
