run_id,scenario,design,repetition,accepted,line_count,sample_count,capture_start,capture_end,duration_seconds,first_tick,last_tick,wifi_up_lines,wifi_down_lines,gw_live_lines,gw_stale_lines,gw_fail_lines,live_labels,stale_labels,fail_labels,has_hotspot_off,has_hotspot_on,has_delay_2000,has_delay_0,has_prometheus_stop,has_prometheus_start,reset_markers
RUN-20260518-final-v2-normal-design-a-r1,normal,design-a,1,YES,182,180,2026-05-18 17:17:57,2026-05-18 17:20:58,181,260,439,180,0,0,0,0,720,0,0,NO,NO,NO,NO,NO,NO,0
RUN-20260518-final-v2-normal-design-a-r2,normal,design-a,2,YES,182,180,2026-05-18 17:25:46,2026-05-18 17:28:47,181,728,907,180,0,0,0,0,720,0,0,NO,NO,NO,NO,NO,NO,0
RUN-20260518-final-v2-normal-design-a-r3,normal,design-a,3,YES,182,180,2026-05-18 17:35:38,2026-05-18 17:38:38,180,1319,1498,180,0,0,0,0,720,0,0,NO,NO,NO,NO,NO,NO,0
RUN-20260518-final-v2-normal-design-a-r4,normal,design-a,4,YES,182,180,2026-05-18 17:41:13,2026-05-18 17:44:14,181,1653,1832,180,0,0,0,0,720,0,0,NO,NO,NO,NO,NO,NO,0
RUN-20260518-final-v2-normal-design-a-r5,normal,design-a,5,YES,182,180,2026-05-18 17:47:40,2026-05-18 17:50:40,180,2039,2218,180,0,0,0,0,720,0,0,NO,NO,NO,NO,NO,NO,0
RUN-20260518-final-v2-normal-design-b-r1,normal,design-b,1,YES,183,181,2026-05-18 18:13:38,2026-05-18 18:16:38,180,165,345,181,0,181,0,0,724,0,0,NO,NO,NO,NO,NO,NO,0
RUN-20260518-final-v2-normal-design-b-r2,normal,design-b,2,YES,182,180,2026-05-18 18:16:38,2026-05-18 18:19:39,181,346,525,180,0,180,0,0,720,0,0,NO,NO,NO,NO,NO,NO,0
RUN-20260518-final-v2-normal-design-b-r3,normal,design-b,3,YES,182,180,2026-05-18 18:19:40,2026-05-18 18:22:40,180,527,706,180,0,180,0,0,720,0,0,NO,NO,NO,NO,NO,NO,0
RUN-20260518-final-v2-normal-design-b-r4,normal,design-b,4,YES,183,181,2026-05-18 18:22:41,2026-05-18 18:25:41,180,708,888,181,0,181,0,0,724,0,0,NO,NO,NO,NO,NO,NO,0
RUN-20260518-final-v2-normal-design-b-r5,normal,design-b,5,YES,183,181,2026-05-18 18:25:42,2026-05-18 18:28:42,180,889,1069,181,0,181,0,0,724,0,0,NO,NO,NO,NO,NO,NO,0
RUN-20260518-final-v2-wifi-loss-design-a-r1,wifi-loss,design-a,1,YES,246,239,2026-05-18 23:50:44,2026-05-18 23:54:44,240,598,836,141,98,0,0,0,552,109,295,YES,YES,NO,NO,NO,NO,0
RUN-20260518-final-v2-wifi-loss-design-a-r2,wifi-loss,design-a,2,YES,246,239,2026-05-18 23:55:10,2026-05-18 23:59:10,240,863,1101,137,102,0,0,0,537,111,308,YES,YES,NO,NO,NO,NO,0
RUN-20260518-final-v2-wifi-loss-design-a-r3,wifi-loss,design-a,3,YES,247,240,2026-05-18 23:59:36,2026-05-19 00:03:37,241,1128,1367,143,97,0,0,0,562,113,285,YES,YES,NO,NO,NO,NO,0
RUN-20260518-final-v2-wifi-loss-design-a-r4,wifi-loss,design-a,4,YES,246,239,2026-05-19 00:04:02,2026-05-19 00:08:02,240,1393,1631,142,97,0,0,0,557,112,287,YES,YES,NO,NO,NO,NO,0
RUN-20260518-final-v2-wifi-loss-design-a-r5,wifi-loss,design-a,5,YES,246,239,2026-05-19 00:08:28,2026-05-19 00:12:29,241,1658,1896,142,97,0,0,0,553,111,292,YES,YES,NO,NO,NO,NO,0
